species,Guild,source
Lithosia quadra,Moths,original
Plagiolepis pygmaea,Ants,original
Laeosopis roboris,Butterflies,original
Catephia alchymista,Moths,original
Fabriciana niobe,Butterflies,original
Scopula decorata,Moths,original
Nyctobrya muralis,Moths,original
Peribatodes rhomboidaria,Moths,original
Eupithecia pusillata,Moths,original
Pontia callidice,Butterflies,original
Cabera exanthemata,Moths,original
Camponotus herculeanus,Ants,original
Hoplodrina ambigua,Moths,original
Craniophora ligustri,Moths,original
Colias phicomone,Butterflies,original
Carcharodus lavatherae,Butterflies,original
Milesia crabroniformis,Hoverflies,original
Zygaena anthyllidis,Moths,original
Eana penziana,Moths,original
Maculinea alcon,Butterflies,original
Sideridis lampra,Moths,original
Pyrgus alveus,Butterflies,original
Melanargia occitanica,Butterflies,original
Myrmica scabrinodis,Ants,original
Hylaea fasciaria,Moths,original
Melanargia japygia,Butterflies,original
Gymnoscelis rufifasciata,Moths,original
Autographa pulchrina,Moths,original
Xestia xanthographa,Moths,original
Metaxmeste phrygialis,Moths,original
Limenitis populi,Butterflies,original
Zygaena exulans,Moths,original
Pyronia bathseba,Butterflies,original
Euphyia frustata,Moths,original
Oncocera semirubella,Moths,original
Stomorhina lunata,Other Flies,original
Polyommatus eros,Butterflies,original
Agrotis exclamationis,Moths,original
Lopinga achine,Butterflies,original
Pyrausta purpuralis,Moths,original
Zygaena contaminei,Moths,original
Erebia ligea,Butterflies,original
Bombus pratorum,Bumblebees,original
Chiasmia clathrata,Moths,original
Lymantria monacha,Moths,original
Idaea moniliata,Moths,original
Formica sanguinea,Ants,original
Erebia montana,Butterflies,original
Erebia aethiops,Butterflies,original
Biston betularia,Moths,original
Autographa jota,Moths,original
Mythimna vitellina,Moths,original
Diachrysia chrysitis,Moths,original
Vespa velutina,Social Wasps,original
Hipparchia statilinus,Butterflies,original
Eana argentana,Moths,original
Eupithecia lariciata,Moths,original
Agriades glandon,Butterflies,original
Charissa mucidaria,Moths,original
Helophilus pendulus,Hoverflies,original
Euclidia glyphica,Moths,original
Leptothorax nylanderi,Ants,original
Erebia gorgone,Butterflies,original
Euphyia biangulata,Moths,original
Orthosia incerta,Moths,original
Bombus soroeensis,Bumblebees,original
Heriades truncorum,Wild Bees,original
Eupeodes luniger,Hoverflies,original
Phlogophora meticulosa,Moths,original
Helicoverpa armigera,Moths,original
Gastropacha quercifolia,Moths,original
Pieris brassicae,Butterflies,original
Nola cicatricalis,Moths,original
Stenoptilia bipunctidactyla,Moths,original
Triphosa dubitata,Moths,original
Polyommatus ripartii,Butterflies,original
Bombus sichelii,Bumblebees,original
Vanessa atalanta,Butterflies,original
Manica rubida,Ants,original
Volucella bombylans,Hoverflies,original
Leptothorax tuberum,Ants,original
Mythimna unipuncta,Moths,original
Agrotis trux,Moths,original
Idaea contiguaria,Moths,original
Zygaena osterodensis,Moths,original
Dysauxes punctata,Moths,original
Colostygia aqueata,Moths,original
Calliteara pudibunda,Moths,original
Nemophora metallica,Moths,original
Lasioglossum villosulum,Wild Bees,original
Entephria infidaria,Moths,original
Myrmica lobulicornis,Ants,original
Dysstroma truncata,Moths,original
Acronicta rumicis,Moths,original
Hoplitis adunca,Wild Bees,original
Dendrolimus pini,Moths,original
Philereme transversata,Moths,original
Xestia ditrapezium,Moths,original
Erebia gorge,Butterflies,original
Thecla betulae,Butterflies,original
Epilecta linogrisea,Moths,original
Aglais urticae,Butterflies,original
Acronicta aceris,Moths,original
Mellicta athalia,Butterflies,original
Dinera carinifrons,Other Flies,original
