species,Guild,source
Anania terrealis,Moths,original
Scolitantides orion,Butterflies,original
Rhyparia purpurata,Moths,original
Hylaeus confusus,Wild Bees,original
Scopula submutata,Moths,original
Dypterygia scabriuscula,Moths,original
Abrostola asclepiadis,Moths,original
Leucoma salicis,Moths,original
Notodonta tritophus,Moths,original
Zygaena transalpina,Moths,original
Synthymia fixa,Moths,original
Clossiana euphrosyne,Butterflies,original
Hadena filograna,Moths,original
Iphiclides feisthamelii,Butterflies,original
Vacciniina optilete,Butterflies,original
Glaucopsyche rebeli,Butterflies,original
Prosimulium rufipes,Other Flies,original
Chelis maculosa,Moths,original
Tholera cespitis,Moths,original
Epipsilia grisescens,Moths,original
Catarhoe rubidata,Moths,original
Drepana falcataria,Moths,original
Yigoga signifera,Moths,original
Orenaia alpestralis,Moths,original
Cybosia mesomella,Moths,original
Actinotia radiosa,Moths,original
Hypodryas cynthia,Butterflies,original
Ladoga camilla,Butterflies,original
Epirrhoe tristata,Moths,original
Bombus bohemicus,Bumblebees,original
Lythria plumularia,Moths,original
Spiris striata,Moths,original
Lasius emarginatus,Ants,original
Agrotis clavis,Moths,original
Zygaena rhadamanthus,Moths,original
Scotopteryx chenopodiata,Moths,original
Euxoa recussa,Moths,original
Udea lutealis,Moths,original
Panolis flammea,Moths,original
Catocala nupta,Moths,original
Idaea filicata,Moths,original
Eudonia sudetica,Moths,original
Syrphus ribesii,Hoverflies,original
Brachylomia viminalis,Moths,original
Brenthis ino,Butterflies,original
Erebia epistygne,Butterflies,original
Abraxas grossulariata,Moths,original
Charissa obscurata,Moths,original
Panurgus dentipes,Wild Bees,original
Maculinea teleius,Butterflies,original
Calliergis ramosa,Moths,original
Catoptria falsella,Moths,original
Eulithis pyraliata,Moths,original
Erebia scipio,Butterflies,original
Hadena confusa,Moths,original
Lasioglossum fulvicorne,Wild Bees,original
Lasius psammophilus,Ants,original
Xanthorhoe designata,Moths,original
Catoptria conchella,Moths,original
Idaea humiliata,Moths,original
Leptidea reali,Butterflies,original
Eurois occulta,Moths,original
Crambus perlellus,Moths,original
Lasionycta imbecilla,Moths,original
Bupalus piniaria,Moths,original
Camponotus vagus,Ants,original
Pareulype berberata,Moths,original
Polymixis dubia,Moths,original
Macrothylacia rubi,Moths,original
Thera variata,Moths,original
Eucera longicornis,Wild Bees,original
Pyrausta aurata,Moths,original
Boloria graeca,Butterflies,original
Oligia versicolor,Moths,original
Blepharicera cinerascens,Other Flies,original
Pempelia ornatella,Moths,original
Zygaena lavandulae,Moths,original
Rhodanthidium septemdentatum,Wild Bees,original
Anania hortulata,Moths,original
Callopistria juventina,Moths,original
Bombus hortorum,Bumblebees,original
Ochropleura plecta,Moths,original
Coscinia striata,Moths,original
Rivula sericealis,Moths,original
Hyles vespertilio,Moths,original
Hesperia comma,Butterflies,original
Trachusa byssina,Wild Bees,original
Andrena hattorfiana,Wild Bees,original
Colostygia olivata,Moths,original
Lasius flavus,Ants,original
Eupithecia cretaceata,Moths,original
Euchloe tagis,Butterflies,original
Eugnorisma glareosa,Moths,original
Idaea bilinearia,Moths,original
Dichagyris renigera,Moths,original
Stauropus fagi,Moths,original
Syngrapha ain,Moths,original
Zygaena sarpedon,Moths,original
Polyommatus icarus,Butterflies,original
Tiliacea aurago,Moths,original
Ptilodon capucina,Moths,original
Fixsenia esculi,Butterflies,original
Brenthis hecate,Butterflies,original
Polia hepatica,Moths,original
Andrena ovatula,Wild Bees,original
Pyrausta ostrinalis,Moths,original
Aplocera praeformata,Moths,original
Catocala coniuncta,Moths,original
Callopistria latreillei,Moths,original
Melanthia procellata,Moths,original
Bena bicolorana,Moths,original
Sitochroa verticalis,Moths,original
Geometra papilionaria,Moths,original
Hadena tephroleuca,Moths,original
Allophyes oxyacanthae,Moths,original
Cheilosia impressa,Hoverflies,original
Mythimna l-album,Moths,original
Macrophya montana,Sawflies,original
Melitaea didyma,Butterflies,original
Lysandra hispana,Butterflies,original
Habrosyne pyritoides,Moths,original
Volucella pellucens,Hoverflies,original
Eublemma polygramma,Moths,original
Colostygia pectinataria,Moths,original
Acronicta alni,Moths,original
Ligdia adustata,Moths,original
Rhodostrophia calabra,Moths,original
Caradrina flavirena,Moths,original
Thaumetopoea processionea,Moths,original
Hemithea aestivaria,Moths,original
Hemipenthes maura,Bee Flies,original
Apamea zeta,Moths,original
Cacyreus marshalli,Butterflies,original
Dasypogon diadema,Other Flies,original
Anarta myrtilli,Moths,original
Chloroclystis v-ata,Moths,original
Halictus quadricinctus,Wild Bees,original
Zygaena occitanica,Moths,original
Lasioglossum cupromicans,Wild Bees,original
Hypercallia citrinalis,Moths,original
Leucania comma,Moths,original
Chersotis margaritacea,Moths,original
Peridroma saucia,Moths,original
Agrotis bigramma,Moths,original
Olethreutes arcuella,Moths,original
Perizoma minorata,Moths,original
Hypena rostralis,Moths,original
Lymantria dispar,Moths,original
Leptotes pirithous,Butterflies,original
Minoa murinata,Moths,original
Lycaena dispar,Butterflies,original
Catoptria myella,Moths,original
Lomaspilis marginata,Moths,original
Apamea platinea,Moths,original
Deilephila porcellus,Moths,original
Euphyia molluginata,Moths,original
Pyrgus carlinae,Butterflies,original
Eristalis arbustorum,Hoverflies,original
Prosimulium latimucro,Other Flies,original
Adela australis,Moths,original
Sideridis rivularis,Moths,original
Lasiocampa trifolii,Moths,original
Glaucopsyche melanops,Butterflies,original
Osmia aurulenta,Wild Bees,original
Eristalis pertinax,Hoverflies,original
Noctua comes,Moths,original
Andrena minutula,Wild Bees,original
Myrmica sabuleti,Ants,original
Lasioglossum xanthopus,Wild Bees,original
Araschnia levana,Butterflies,original
Erannis defoliaria,Moths,original
Panurgus banksianus,Wild Bees,original
Trachea atriplicis,Moths,original
Agrotis ipsilon,Moths,original
Isodontia mexicana,Solitary Wasps,original
Vespula vulgaris,Social Wasps,original
Hyponephele lupinus,Butterflies,original
Argyresthia pruniella,Moths,original
Apamea furva,Moths,original
Camptogramma bilineata,Moths,original
Chrysotoxum arcuatum,Hoverflies,original
Calophasia lunula,Moths,original
Clostera curtula,Moths,original
Arctornis l-nigrum,Moths,original
Zygaena viciae,Moths,original
Mutilla europaea,Ants,original
Trichiura crataegi,Moths,original
Dichagyris nigrescens,Moths,original
Hemaris tityus,Moths,original
Xestia ashworthii,Moths,original
Mythimna ferrago,Moths,original
Megascolia maculata,Solitary Wasps,original
Anania fuscalis,Moths,original
Scopula imitaria,Moths,original
Damora pandora,Butterflies,original
Pyrgus sidae,Butterflies,original
Zygaena purpuralis,Moths,original
Mythimna albipuncta,Moths,original
Anthidium manicatum,Wild Bees,original
Ectropis crepuscularia,Moths,original
Pungeleria capreolaria,Moths,original
Chrysoteuchia culmella,Moths,original
Andrena combinata,Wild Bees,original
Evergestis sophialis,Moths,original
Pyrgus malvae,Butterflies,original
Spodoptera exigua,Moths,original
Meganola strigula,Moths,original
Idaea maritimaria,Moths,original
Noctua janthe,Moths,original
Camponotus cruentatus,Ants,original
Autographa gamma,Moths,original
Acompsia cinerella,Moths,original
Bombus terrestris,Bumblebees,original
Eana osseana,Moths,original
Philipomyia aprica,Other Flies,original
Heteropterus morpheus,Butterflies,original
Horisme tersata,Moths,original
Idia calvaria,Moths,original
Zygaena nevadensis,Moths,original
Mesembrina meridiana,Other Flies,original
Furcula furcula,Moths,original
Phytometra viridaria,Moths,original
Thalera fimbrialis,Moths,original
Cilix glaucata,Moths,original
Malacosoma neustria,Moths,original
Tetramorium impurum,Ants,original
Macaria liturata,Moths,original
Agriades pyrenaica,Butterflies,original
Paracolax tristalis,Moths,original
Xanthorhoe fluctuata,Moths,original
Andrena similis,Wild Bees,original
Apamea sordens,Moths,original
Macaria wauaria,Moths,original
Hypomecis roboraria,Moths,original
Volucella zonaria,Hoverflies,original
Chrysotoxum vernale,Hoverflies,original
Colotois pennaria,Moths,original
Simulium monticola,Other Flies,original
Synaphe punctalis,Moths,original
Metaxmeste schrankiana,Moths,original
Odice jucunda,Moths,original
Apamea crenata,Moths,original
Erebia lappona,Butterflies,original
Epirrhoe rivata,Moths,original
Idaea ochrata,Moths,original
Hemipenthes velutina,Bee Flies,original
Dysgonia algira,Moths,original
Cataclysme riguata,Moths,original
Dyspessa ulula,Moths,original
Hemipenthes morio,Bee Flies,original
Noctua fimbriata,Moths,original
Erebia aethiopella,Butterflies,original
Dufourea dentiventris,Wild Bees,original
Chersotis oreina,Moths,original
Simulium variegatum,Other Flies,original
Diacrisia sannio,Moths,original
Crematogaster scutellaris,Ants,original
Cerura vinula,Moths,original
Muschampia proto,Butterflies,original
Cucullia campanulae,Moths,original
Nebula tophaceata,Moths,original
Paramesia gnomana,Moths,original
Pterophorus pentadactyla,Moths,original
Paysandisia archon,Moths,original
Anthidium florentinum,Wild Bees,original
Lasioglossum calceatum,Wild Bees,original
Eudonia lacustrata,Moths,original
Pyrrhia umbra,Moths,original
Clepsis consimilana,Moths,original
Korscheltellus lupulina,Moths,original
Bombus rupestris,Bumblebees,original
Herminia tarsicrinalis,Moths,original
Phyllodesma tremulifolia,Moths,original
Tomares ballus,Butterflies,original
Polyommatus damon,Butterflies,added_from_syn_map
Phengaris arion,Butterflies,added_from_syn_map
Polyommatus humedasae,Butterflies,added_from_syn_map
Satyrium quercus,Butterflies,added_from_syn_map
Phengaris alcon,Butterflies,added_from_syn_map
Satyrium ilicis,Butterflies,added_from_syn_map
Lycaena hippothoe,Butterflies,added_from_syn_map
Polyommatus semiargus,Butterflies,added_from_syn_map
Melitaea parthenoides,Butterflies,added_from_syn_map
Polyommatus dolus,Butterflies,added_from_syn_map
Polyommatus escheri,Butterflies,added_from_syn_map
Polyommatus dorylas,Butterflies,added_from_syn_map
Boloria euphrosyne,Butterflies,added_from_syn_map
Agriades optilete,Butterflies,added_from_syn_map
Limenitis camilla,Butterflies,added_from_syn_map
Satyrium esculi,Butterflies,added_from_syn_map
Argynnis pandora,Butterflies,added_from_syn_map
Leptidea sinapis_complex,Butterflies,added_from_lump_map
